FID,Code,DRANAREA,AREA,VOL,STRRATIO,MEANDPTH,MAXDPTH,FLUC,SHRDEV,relfluc,lat,lon,NAME
0,R4025,408,7000,79000,0.32,11,35,12,10.2,1.090909091,33.05,-93.51666667,Red River
1,R4041,4144,29500,199000,0.04,7,46,25,2.7,3.571428571,33.68333333,-93.95,Red River
2,R4064,273,1370,33030,0.1,24,70,30,6.9,1.25,34.16666667,-94.16666667,Red River
3,R18003,1410,17200,120400,0.11,7,30,2,2.9,0.285714286,32.31666667,-93.43333333,Red River
4,R18004,231,3960,17000,0.1,4,15,1,3.9,0.25,32.58333333,-93.05,Red River
5,R18005,1377,13800,161000,0.18,11,20,3,3.1,0.272727273,31.85,-92.96666667,Red River
6,R18008,34,1044,12000,0.1,11,25,2,15.5,0.181818182,31.56666667,-92.96666667,Red River
7,R18014,242,5050,14000,0.06,3,9,2,3.6,0.666666667,31.55,-92.65,Red River
8,R18015,55,520,3120,0.08,6,25,3,4,0.5,32.81666667,-93.48333333,Red River
9,R18016,46,1926,16800,0.4,9,28,4,2.5,0.444444444,32.31666667,-93.16666667,Red River
10,R18018,421,8960,61000,0.2,7,12,2,3,0.285714286,31.85,-92.93333333,Red River
11,R36001,2116,6575,143000,1.4,21,79,16,4.3,0.761904762,34.88333333,-99.28333333,Red River
12,R36011,28,880,14000,2.1,16,50,5,5,0.3125,34.58333333,-97.9,Red River
13,R36013,54,5000,153000,2,11,75,5,10,0.454545455,34.03333333,-97.06666667,Red River
14,R36018,39719,89000,2733000,0.79,31,115,10,13.9,0.322580645,33.81666667,-96.56666667,Red River
15,R36023,754,14200,918000,0.98,65,180,10,10.8,0.153846154,34.13333333,-94.68333333,Red River
16,R36028,246,5600,94000,1.9,17,54,7,3.1,0.411764706,34.78333333,-98.36666667,Red River
17,R36030,304,4070,80000,2.59,20,53,3,5.2,0.15,35.15,-98.45,Red River
18,R36031,1496,8800,256000,3.77,29,81,10,4.8,0.344827586,35.53333333,-99.16666667,Red River
19,R36032,376,1500,17600,6.4,12,42,5,3.5,0.416666667,34.75,-98.08333333,Red River
20,R36037,93,2400,62400,0.8,26,80,8,2.3,0.307692308,34.73333333,-98.5,Red River
21,R36043,635,3800,54000,0.08,14,70,20,8.6,1.428571429,34.11666667,-95.08333333,Red River
22,R36050,17,560,6000,1.9,11,31,3,3.3,0.272727273,34.5,-98,Red River
23,R43001,2100,3420,37620,0.5,11,35,10,2,0.909090909,33.78333333,-98.96666667,Red River
24,R43003,2744,32500,187000,0.1,6,28,4,5.2,0.666666667,32.66666667,-94.16666667,Red River
