"RESID","SS","PreySS","PredSS","PPratio","ExoticSS","Richness","Evenness","NatStock","Nnatstock","IntrodUndes","Fishkills","FishPres","CatchRate","FishSize","CatchVar","AnglerSatis","FreqTourn","RatioFishing","SPP1comp","LargeFish","StockedFish","PopDen","SizeStruc","Condition","GRate","NatMort","R_age1","R_adult","CRA","BAS","PIK","PER","CAT","SUN","MOR","TRT","SAL","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID"
"AL12",4,3,4,3,2,3,3,1,1,1,1,5,4,4,3,3,5,3,3,3,1,4,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",12,"Guntersville Reservoir",-86.39333,34.42167,"SAP                1"
"AL13",3,4,3,3,1,3,3,3,1,1,2,4,3,3,2,3,4,3,3,3,1,3,3,4,4,3,3,3,0,1,0,0,0,0,0,0,0,"AL",13,"Neely Henry",-86.0533,33.7833,"SAP                1"
"AL14",2,2,2,3,1,3,3,3,1,1,1,3,2,2,3,2,3,3,1,1,1,2,3,3,3,3,2,2,0,1,0,0,0,0,0,0,0,"AL",14,"Holt Reservoir",-87.45,33.25333,"SAP                1"
"AL15",3,3,3,3,1,3,3,3,1,1,1,3,4,4,3,3,3,4,2,2,1,4,4,4,4,3,3,3,1,0,0,0,0,0,0,0,0,"AL",15,"Gainesville Reservoir",-88.16667,32.83333,"CPL                3"
"AL16",3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,4,3,1,1,1,3,3,3,3,3,2,2,0,1,0,0,0,0,0,0,0,"AL",16,"Bankhead Lake",-87.355,33.45667,"SAP                1"
"AL17",4,4,3,4,2,4,4,2,1,1,3,4,4,4,3,4,5,4,3,3,1,4,5,5,5,3,2,2,0,1,0,0,0,0,0,0,0,"AL",17,"Lake Jordan",-86.2583,32.6187,"SAP                1"
"AL18",3,3,3,4,2,2,2,3,2,2,2,4,3,3,3,4,3,2,3,3,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",18,"Lake Tholocco",-85.72167,31.385,"CPL                4"
"AL19",4,4,4,4,2,3,3,4,2,2,3,4,4,3,3,4,4,3,3,2,2,4,3,4,3,3,4,4,0,1,0,0,0,0,0,0,0,"AL",19,"Lay",-86.5171,32.9637,"SAP                4"
"AL2",3,3,3,3,1,3,3,3,3,1,1,3,3,3,1,4,3,3,1,2,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",2,"Warrior Reservoir",-87.84167,32.77833,"CPL                3"
"AL20",2,2,2,3,1,3,3,3,1,1,1,3,3,3,3,3,3,3,1,1,1,2,2,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",20,"Smith Lake",-87.1083,33.9417,"SAP                1"
"AL21",3,3,3,3,2,3,3,3,1,1,1,3,3,3,3,3,3,4,2,2,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",21,"Little Bear Creek Reservoir",-87.982,34.455,"CPL                1"
"AL22",3,3,3,3,4,3,3,4,1,4,3,3,3,3,3,3,4,3,3,2,1,3,3,4,4,3,3,3,0,1,0,0,0,0,0,0,0,"AL",22,"Logan Martin",-86.3383,33.4267,"SAP                1"
"AL23",3,3,3,3,2,3,3,4,2,2,2,4,3,3,4,3,4,3,3,2,1,4,3,3,2,3,3,3,0,1,0,0,0,0,0,0,0,"AL",23,"Lake Martin",-85.9117,32.68,"SAP                1"
"AL24",4,4,4,4,3,4,4,1,1,3,1,4,4,4,2,4,4,4,2,2,1,3,4,4,3,3,3,4,0,1,0,0,0,0,0,0,0,"AL",24,"Millers Ferry",-87.4,32.10167,"CPL                4"
"AL25",4,4,3,3,2,3,3,2,2,1,3,4,3,4,4,3,4,4,2,3,1,4,4,4,4,3,2,2,0,1,0,0,0,0,0,0,0,"AL",25,"Lake Mitchell",-86.4467,32.805,"SAP                1"
"AL27",3,3,3,3,2,4,3,4,2,3,4,3,3,3,3,4,3,3,4,3,1,3,3,2,2,3,3,3,0,1,0,0,0,0,0,0,0,"AL",27,"Point A Reservoir",-86.5184,31.361,"CPL                4"
"AL29",3,3,3,2.5,1,3,3,2,2,2,2,3,3,3,4,3,4,3,2,3,1,3,4,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",29,"Harris",-85.613,33.2585,"SAP                1"
"AL3",3,3,3,3,2,2,3,3,1,1,1,2,3,3,3,3,2,4,2,3,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,"AL",3,"Bear Creek Reservoir",-87.98833,34.39667,"CPL                1"
"AL32",3,3,3,3,3,3,3,1,3,3,3,4,4,2,3,3,4,4,3,3,1,4,3,4,3,3,3,4,0,1,0,0,0,0,0,0,0,"AL",32,"Jones Bluff",-86.78333,32.32333,"CPL                4"
