"RESID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID"
"AL12",2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,"AL",12,"Guntersville Reservoir",-86.39333,34.42167,"SAP                1"
"AL13",1,0,1,0,1,1,0,2,2,0,1,1,1,1,1,"AL",13,"Neely Henry",-86.0533,33.7833,"SAP                1"
"AL14",0,1,3,4,4,1.211024787,1,3,1,1,4,2.515466391,5,1,2,"AL",14,"Holt Reservoir",-87.45,33.25333,"SAP                1"
"AL15",2,2,0,0,1,0,2,2,2,1,3,3,3,3,3,"AL",15,"Gainesville Reservoir",-88.16667,32.83333,"CPL                3"
"AL16",0,1,3,3,3,1,0.875573696,3,1,1,2,2,3,1,2,"AL",16,"Bankhead Lake",-87.355,33.45667,"SAP                1"
"AL17",1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,"AL",17,"Lake Jordan",-86.2583,32.6187,"SAP                1"
"AL18",4,3,3,3,3,3,1,3,2,1,3,3,3,3,2,"AL",18,"Lake Tholocco",-85.72167,31.385,"CPL                4"
"AL19",2,1,1,1,2,3,1,1,3,2,2,2,1,2,2,"AL",19,"Lay",-86.5171,32.9637,"SAP                4"
"AL2",0,2,1,1.403728051,3,1,1,3,3,1,3,3,2,0,1,"AL",2,"Warrior Reservoir",-87.84167,32.77833,"CPL                3"
"AL20",0,1,1,1,1,1,1,2,1,2,2,2,2,1,1,"AL",20,"Smith Lake",-87.1083,33.9417,"SAP                1"
"AL21",1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,"AL",21,"Little Bear Creek Reservoir",-87.982,34.455,"CPL                1"
"AL22",1,1,1,1,1,2,1,2,1,0,1,1,1,2,1,"AL",22,"Logan Martin",-86.3383,33.4267,"SAP                1"
"AL23",1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,"AL",23,"Lake Martin",-85.9117,32.68,"SAP                1"
"AL24",3,4,3,3,4,2,3,4,3,1,5,4,4,3,4,"AL",24,"Millers Ferry",-87.4,32.10167,"CPL                4"
"AL25",0,2,1,1,4,1,1,3,1,0,4,1,2,2,2,"AL",25,"Lake Mitchell",-86.4467,32.805,"SAP                1"
"AL27",2,2,2,2,4,3,4,3,2,2,4,3,3,3,4,"AL",27,"Point A Reservoir",-86.5184,31.361,"CPL                4"
"AL29",1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,"AL",29,"Harris",-85.613,33.2585,"SAP                1"
"AL3",1,1,1,0,0,1,1,0,1,0,1,1,1,3,3,"AL",3,"Bear Creek Reservoir",-87.98833,34.39667,"CPL                1"
"AL32",2,4,2,2,3,1,2,4,2,1,4,4,4,4,3,"AL",32,"Jones Bluff",-86.78333,32.32333,"CPL                4"
"AL33",1,1,1,1,1,2,1,2,0,0,1,1,2,1,1,"AL",33,"Thurlow",-85.8883,32.535,"CPL                1"
"AL34",3,1,1,1,1,1,2,1,2,1,3,3,2,1,1,"AL",34,"Aliceville lake",-85.36489,31.14739,"CPL                3"
"AL35",1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,"AL",35,"Upper Bear Creek Reservoir",-87.695,34.27167,"SAP                1"
"AL37",3,2,3,3,3,2,3,4,4,2,4,4,4,3,2,"AL",37,"Lake Eufaula",-85.06333,31.62667,"CPL                4"
"AL39",3,3,1,1,2,3,3,2,4,3,3,3,2,3,2,"AL",39,"Weiss",-85.7539,34.1721,"SAP                3"
"AL4",1,1,1,1,0,4,1,1,1,1,1,1,1,3,3,"AL",4,"Cedar Creek Reservoir",-87.975,34.545,"CPL                1"
"AL45",0,0,2,4,1,2,0,3,3,1,1,1,1,1,1,"AL",45,"Oliver pool",-87.59278,33.20636,"CPL                3"
"AL46",1,1,1,1,1,1,1,1,1,1,1,1,2,1.984647489,2,"AL",46,"Wilson Reservoir",-87.625,34.795,"SAP                1"
