"","X","nid_id","lat","lon","river","purpose","yr_comp","res_age","hydr_hght","max_dis","max_stor","norm_stor","surf_area_km2","res_perim_km","sdi","mean_depth","mean_max_depth_ratio","mean_q","drain_area_km2","catch_surf_area_ratio","rel_depth_perc","lake_vol_m3","elev","reach_code","e2rf1","mean_v","strahler","water","wetlands","urb_grass","lo_urb_dev","hi_urb_dev","industry","for_dec","for_ever","for_mixed","shrub","grass","pasture","crops","orchards","barren","tn_bg_kg_km2_yr","tp_bg_kg_km2_yr","tn_bg_kg_km2_yr_atom","tn_kg_km2_yr","tp_kg_km2_yr","tn_point","tp_point","tn_fert","tp_fert","tn_ag_anml","tp_ag_anml","tn_forest","tp_forest","tn_barren","tp_barren","tn_shrub","tp_shrub","tn_grass","tp_grass","tn_frac","tp_frac","WinT_rcp85","WintT_abs","WinT_hist","SumT_hist","SumT_rcp85","SumT_abs","US_L3CODE","US_L3NAME","Histprecip","RCP85precip","ABSprecip","RESID","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","X_MACRO","N_MACRO","NN_PLNT","NN_ANIM","DEEP_LZ","N_SHADE","N_ALLOC","WS_AGRI","WS_ANIM","WS_LOGS","WS_MINE","WS_URBN","N_NUTRI","IN_TURB","OR_TURB","VAR_TUR","VAR_DO2","O_STRAT","HI_TEMP","LO_TEMP","T_STRAT","DESTRAT","THERMAL","CONTAMN","POLL_PS","POLLNPS","HYDROGR","RESIDUP","LOWRETE","LOWSTOR","WL_SEAS","WL_DROP","WL_LONG","WLSHORT","WL_FAST","DIST_UP","DIST_AD","SS","PreySS","PredSS","PPratio","ExoticSS","Richness","Evenness","NatStock","Nnatstock","IntrodUndes","Fishkills","FishPres","CatchRate","FishSize","CatchVar","AnglerSatis","FreqTourn","RatioFishing","SPP1comp","LargeFish","StockedFish","PopDen","SizeStruc","Condition","GRate","NatMort","R_age1","R_adult","CRA","BAS","PIK","PER","CAT","SUN","MOR","TRT","SAL","distance"
"1",1,"AL00017",30.70833,-88.34167,"BIG CREEK","SR",1952,63,56,35000,136500,105000,14.568696,97.26899248,7.188842487,37.91657962,0.677081779,165.605,NA,NA,0.268336293,129515400,NA,3.17e+12,9742,1.2,1,0.2,0.8,0.5,0.2,0,0.1,5.8,33.5,28.6,0,0,15.6,12,0,2.7,130,32,178,905,40,6,14,56,30,5,24,12,26,2,5,0,0,0,0,0.68465,0.21099,16.2,3.26,12.94,27.44,31.57,4.13,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL48","AL",48,"Big Creek Lake",-88.340778,30.717341,"CPL                3",1,1,1,2,2,3,1,1,1,2,2,1,1,2,1,3,1,1,1,2,1,1,1,1,1,0,3,1,2,2,2,1,1,1,1,1,1,1,2,2,3,2,1,3,1,2,1,4,2,2,2,3,2,2,2,3,1,2,2,1,2,1,1,4,3,2,3,2,3,4,3,2,1,2,3,2,2,3,2,3,0,1,0,0,0,0,0,0,0,1.00264772402891
"2",4,"AL00665",31.385,-85.72167,"CLAYBANK CREEK","R",1935,80,37,79900,17600,9000,2.7518648,21.27324992,3.617555369,25.88229352,0.699521447,57.2767,214.96917,78.11764706,0.421453645,11101320,NA,3.14e+12,7908,0.51,2,0.9,2.6,0.6,1.3,0.2,0.7,19.9,26.3,29.9,0,0,4.5,9.4,0,3.6,80,22,107,346,13,30,40,20,14,8,21,18,20,3,5,0,0,0,0,0.69952,0.32583,15.38,3.23,12.14,27.17,31.58,4.41,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL18","AL",18,"Lake Tholocco",-85.72167,31.385,"CPL                4",4,3,3,3,3,3,1,3,2,1,3,3,3,3,2,4,1,3,3,0,2,1,3,1,3,0,2,3,3,3,3,1,2,2,1,2,2,1,3,2,3,1,1,2,3,1,1,2,1,1,3,2,3,3,3,4,2,2,2,3,2,2,2,4,3,3,3,4,3,2,3,3,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
"3",6,"AL00739",32.78,-87.85667,"WHITE CREEK","R",1957,58,14,680,129,120,1.21001114,24.7658923,6.351176569,0.431437137,0.030816938,9820.04,NA,NA,0.010594573,148017.6,NA,3.16e+12,62522,2.95,4,1.6,3.3,0.5,1.5,0.4,0.9,32,16.7,26.1,0,0,9.9,5,0,2.1,68,13,91,624,43,19,21,16,6,25,52,17,19,2,2,0,0,0,0,0.95065,0.92109,13.66,3.47,10.19,27.19,32.02,4.83,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL2","AL",2,"Warrior Reservoir",-87.84167,32.77833,"CPL                3",0,2,1,1.403728051,3,1,1,3,3,1,3,3,2,0,1,1,0,1.453735598,1,1,0,0,2,1,2,4,2,0,2,2,1,1,1,0,0,2,1,1,1,2,2,0,2,2,0,0,0,0,0,0,2,1,3,3,3,3,1,3,3,3,3,1,1,3,3,3,1,4,3,3,1,2,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,1.41743155531989
"4",13,"AL01413",31.361,-86.5184,"CONECUH R/PATSALIGA","HCRS",1925,90,41,1e+05,2300,2300,2.832802,29.60531077,4.961995947,3.285706743,0.080139189,849.554,3265.97739,1152.914286,0.052732856,2837004,51.8,3.14e+12,8027,1.9,2,0.9,7.3,0.1,0.1,0,0.1,16.1,24.8,30.8,0,0,6.3,9.7,0,3.8,60,19,79,381,35,6,5,25,19,17,46,21,24,4,6,0,0,0,0,0.88407,0.61644,14.77,3.25,11.52,26.77,31.21,4.44,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL27","AL",27,"Point A Reservoir",-86.5184,31.361,"CPL                4",2,2,2,2,4,3,4,3,2,2,4,3,3,3,4,4,1,4,4,0,2,1,3,3,4,1,3,4,4,1,3,2,2,3,1,2,2,5,3,3,3,1,4,3,4,3,3,5,2,3,3,4,3,3,3,3,2,4,3,4,2,3,4,3,3,3,3,4,3,3,4,3,1,3,3,2,2,3,3,3,0,1,0,0,0,0,0,0,0,0
"5",14,"AL01414",31.4032,-86.4796,"CONECUH R","HCRS",1924,91,36,33000,14645,14645,11.19766162,63.4495825,5.348844719,5.292723665,0.147020102,849.554,1598.02383,142.7105168,0.042724418,18064314.6,60,3.14e+12,8027,1.9,2,0.9,7.3,0.1,0.1,0,0.1,16.1,24.8,30.8,0,0,6.3,9.7,0,3.8,60,19,79,381,35,6,5,25,19,17,46,21,24,4,6,0,0,0,0,0.88407,0.61644,14.8,3.26,11.54,26.84,31.29,4.45,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL9","AL",9,"Gantt Reservoir",-86.4796,31.4032,"CPL                4",3,1,1,1,4,4,3,4,2,1,4,3,1,4,3,3,1,4,2,0,3,1,3,3,4,1,3,3,5,1,4,2,2,3,0,2,2,1,3,3,4,1,0,2,4,2,4,4,1,3,5,4,2,3,2,4,3,4,3,3,2,3,1,3,2,2,3,3,2,2,2,2,1,2,2,2,2,3,3,3,0,1,0,0,0,0,0,0,0,0
"6",15,"AL01415",34.1721,-85.7539,"COOSA","HR",1961,54,49,350000,306400,306400,122.215172,520.8316232,13.29014364,10.14567207,0.207054532,653.273,13657.01727,111.7456954,0.024790133,377938272,NA,3.15e+12,9730,1.37,3,1.2,0.3,0.5,0.8,0.1,0.4,31.4,18.2,26.1,0,0,15,4.5,0,1.6,82,11,114,638,63,11,13,27,12,15,46,20,27,2,3,0,0,0,0,0.79854,0.33752,11.75,3.5,8.25,26.05,30.77,4.72,67,"Ridge and Valley",1175.45,1253.37,77.91,"AL39","AL",39,"Weiss",-85.7539,34.1721,"SAP                3",3,3,1,1,2,3,3,2,4,3,3,3,2,3,2,2,3,1,2,4,1,4,3,2,2,1,1,1,3,3,2,3,2,4,1,2,1,0,3,1,3,1,3,3,2,1,2,2,2,2,3,3,4,4,4,5,2,3,3,3,2,2,2,4,4,3,3,4,4,4,3,3,1,4,4,4,3,3,3,3,1,0,0,0,0,0,0,0,0,0
"7",16,"AL01416",33.78333,-86.05334,"COOSA","HR",1966,49,53,340000,121860,121860,45.4664721,373.5576959,15.62812768,10.84643705,0.204649756,10826.5,17093.934,375.9679573,0.04345123,150311872.8,NA,3.15e+12,8322,3.05,4,1.6,0.5,0.4,1.2,0.2,0.8,32.8,19.2,25.6,0,0,11.2,4.6,0,1.8,75,12,105,652,47,15,14,21,10,23,55,18,19,2,2,0,0,0,0,0.86154,0.51364,12.52,3.47,9.05,26.15,30.87,4.71,67,"Ridge and Valley",1175.45,1253.37,77.91,"AL13","AL",13,"Neely Henry",-86.0533,33.7833,"SAP                1",1,0,1,0,1,1,0,2,2,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,3,0,2,1,1,0,2,0,1,1,1,1,0,1,0,0,1,0,1,1,3,4,3,3,1,3,3,3,1,1,2,4,3,3,2,3,4,3,3,3,1,3,3,4,4,3,3,3,0,1,0,0,0,0,0,0,0,0.00497973655886038
"8",17,"AL01417",33.42667,-86.33833,"COOSA","HCRS",1964,51,95,167000,650000,273000,121.4058,542.7771491,13.89622154,21.66661693,0.228069652,12625.4,19942.923,164.2666667,0.053116811,336740040,NA,3.15e+12,8291,3.2,4,1.7,0.6,0.5,1.2,0.2,0.8,33.5,18.8,25.5,0,0,10.8,4.8,0,1.7,75,12,104,616,42,15,15,20,9,22,53,19,21,1,2,0,0,0,0,0.88269,0.59195,13.07,3.46,9.62,26.3,31.03,4.73,67,"Ridge and Valley",1175.45,1253.37,77.91,"AL22","AL",22,"Logan Martin",-86.3383,33.4267,"SAP                1",1,1,1,1,1,2,1,2,1,0,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,0,1,1,1,0,4,4,2,3,2,1,1,2,2,2,1,2,1,2,3,3,3,3,4,3,3,4,1,4,3,3,3,3,3,3,4,3,3,2,1,3,3,4,4,3,3,3,0,1,0,0,0,0,0,0,0,0.0043423004622887
"9",18,"AL01418",32.9637,-86.5171,"COOSA","HR",1914,101,86,560000,262800,262800,48.56232,495.524192,20.05903518,21.89994972,0.254650578,15049.4,23535.23913,484.64,0.084889506,324158544,NA,3.15e+12,8367,3.39,4,1.7,0.8,0.5,1.1,0.2,0.8,33.4,18.9,25.8,0,0,10.4,4.8,0,1.7,77,13,106,581,40,15,15,20,9,20,50,19,23,2,2,0,0,0,0,0.91322,0.7388,13.36,3.42,9.94,26.45,31.15,4.7,45,"Piedmont",1204.47,1274.98,70.51,"AL19","AL",19,"Lay",-86.5171,32.9637,"SAP                4",2,1,1,1,2,3,1,1,3,2,2,2,1,2,2,4,1,3,2,1,2,1,2,2,2,1,1,1,2,3,2,3,2,2,2,3,1,3,4,3,2,0,3,3,3,1,0,0,0,1,2,2,4,4,4,4,2,3,3,4,2,2,3,4,4,3,3,4,4,3,3,2,2,4,3,4,3,3,4,4,0,1,0,0,0,0,0,0,0,0
"10",19,"AL01419",32.58383,-86.28333,"COOSA","H",1967,48,133,-98,236200,236200,3.7231112,177.9298175,26.01301076,256.738541,1.93036497,16632.1,26327.24835,7071.304348,3.594170441,291347976,NA,3.15e+12,9818,3.49,4,1.7,0.8,0.4,1.1,0.2,0.7,33.8,18.7,26.2,0,0,9.9,4.7,0,1.7,76,14,105,553,37,15,15,20,10,20,48,20,25,2,2,0,0,0,0,0.9235,0.77845,14.16,3.37,10.79,27.09,31.77,4.68,65,"Southeastern Plains",1354.02,1363.28,9.26,"AL17","AL",17,"Lake Jordan",-86.2583,32.6187,"SAP                1",1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,0,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,4,4,3,4,2,4,4,2,1,1,3,4,4,4,3,4,5,4,3,3,1,4,5,5,5,3,2,2,0,1,0,0,0,0,0,0,0,4.52484691800512
