FID,STATE,RESINFO,RESNAME1,RESID,LONGITUDE,LATITUDE,CLUSID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,X_COR,Y_COR,,,
0,AL,12,Guntersville Reservoir,AL12,-86.39333,34.42167,SAP                1,26362,0.000755816,-86.39266172,34.42202308,-86.39266172,34.42202308,,Points outside snap distance:,373
1,AL,13,Neely Henry,AL13,-86.0533,33.7833,SAP                1,27124,0.000140868,-86.05319136,33.78338968,-86.05319136,33.78338968,,,
2,AL,14,Holt Reservoir,AL14,-87.45,33.25333,SAP                1,27520,0.000756498,-87.44991236,33.2540814,-87.44991236,33.2540814,,,
3,AL,15,Gainesville Reservoir,AL15,-88.16667,32.83333,CPL                3,26777,0.004276647,-88.16786555,32.83743614,-88.16786555,32.83743614,,,
4,AL,16,Bankhead Lake,AL16,-87.355,33.45667,SAP                1,26872,0.001964071,-87.35667772,33.45769119,-87.35667772,33.45769119,,,
5,AL,17,Lake Jordan,AL17,-86.2583,32.6187,SAP                1,26996,0.001315845,-86.25735652,32.61961722,-86.25735652,32.61961722,,,
6,AL,18,Lake Tholocco,AL18,-85.72167,31.385,CPL                4,27156,0.001455854,-85.7202415,31.38471909,-85.7202415,31.38471909,,,
7,AL,19,Lay,AL19,-86.5171,32.9637,SAP                4,27271,0.00020141,-86.51729872,32.9636672,-86.51729872,32.9636672,,,
8,AL,2,Warrior Reservoir,AL2,-87.84167,32.77833,CPL                3,27132,0.001085132,-87.842111,32.77932148,-87.842111,32.77932148,,,
9,AL,20,Smith Lake,AL20,-87.1083,33.9417,SAP                1,26751,0.00253415,-87.10577558,33.94192181,-87.10577558,33.94192181,,,
10,AL,21,Little Bear Creek Reservoir,AL21,-87.982,34.455,CPL                1,27254,0.001026753,-87.9822334,34.45599987,-87.9822334,34.45599987,,,
11,AL,22,Logan Martin,AL22,-86.3383,33.4267,SAP                1,27183,0.001886973,-86.33666526,33.42575751,-86.33666526,33.42575751,,,
12,AL,23,Lake Martin,AL23,-85.9117,32.68,SAP                1,26464,0.000467411,-85.91123634,32.67994089,-85.91123634,32.67994089,,,
13,AL,24,Millers Ferry,AL24,-87.4,32.10167,CPL                4,26837,0.000183579,-87.39982106,32.10171099,-87.39982106,32.10171099,,,
14,AL,25,Lake Mitchell,AL25,-86.4467,32.805,SAP                1,27239,0.001890925,-86.44515529,32.80609062,-86.44515529,32.80609062,,,
15,AL,27,Point A Reservoir,AL27,-86.5184,31.361,CPL                4,27190,0.000530223,-86.51871148,31.36142909,-86.51871148,31.36142909,,,
16,AL,29,Harris,AL29,-85.613,33.2585,SAP                1,26477,0.003171189,-85.61589588,33.25720759,-85.61589588,33.25720759,,,
17,AL,3,Bear Creek Reservoir,AL3,-87.98833,34.39667,CPL                1,27464,0.001989711,-87.98862772,34.39863731,-87.98862772,34.39863731,,,
18,AL,32,Jones Bluff,AL32,-86.78333,32.32333,CPL                4,27191,0.001103997,-86.78436284,32.32371995,-86.78436284,32.32371995,,,
