STATE,RESINFO,RESNAME1,RESID,LONGITUDE,LATITUDE,CLUSID
AL,12,Guntersville Reservoir,AL12,-86.39333,34.42167,SAP                1
AL,13,Neely Henry,AL13,-86.0533,33.7833,SAP                1
AL,14,Holt Reservoir,AL14,-87.45,33.25333,SAP                1
AL,15,Gainesville Reservoir,AL15,-88.16667,32.83333,CPL                3
AL,16,Bankhead Lake,AL16,-87.355,33.45667,SAP                1
AL,17,Lake Jordan,AL17,-86.2583,32.6187,SAP                1
AL,18,Lake Tholocco,AL18,-85.72167,31.385,CPL                4
AL,19,Lay,AL19,-86.5171,32.9637,SAP                4
AL,2,Warrior Reservoir,AL2,-87.84167,32.77833,CPL                3
AL,20,Smith Lake,AL20,-87.1083,33.9417,SAP                1
AL,21,Little Bear Creek Reservoir,AL21,-87.982,34.455,CPL                1
AL,22,Logan Martin,AL22,-86.3383,33.4267,SAP                1
AL,23,Lake Martin,AL23,-85.9117,32.68,SAP                1
AL,24,Millers Ferry,AL24,-87.4,32.10167,CPL                4
AL,25,Lake Mitchell,AL25,-86.4467,32.805,SAP                1
AL,27,Point A Reservoir,AL27,-86.5184,31.361,CPL                4
AL,29,Harris,AL29,-85.613,33.2585,SAP                1
AL,3,Bear Creek Reservoir,AL3,-87.98833,34.39667,CPL                1
AL,32,Jones Bluff,AL32,-86.78333,32.32333,CPL                4
AL,33,Thurlow,AL33,-85.8883,32.535,CPL                1
AL,34,Aliceville lake,AL34,-85.36489,31.14739,CPL                3
AL,35,Upper Bear Creek Reservoir,AL35,-87.695,34.27167,SAP                1
AL,37,Lake Eufaula,AL37,-85.06333,31.62667,CPL                4
AL,39,Weiss,AL39,-85.7539,34.1721,SAP                3
AL,4,Cedar Creek Reservoir,AL4,-87.975,34.545,CPL                1
AL,44,wheeler reservoir,AL44,-87.38167,34.79833,SAP                1
AL,45,Oliver pool,AL45,-87.59278,33.20636,CPL                3
AL,46,Wilson Reservoir,AL46,-87.625,34.795,SAP                1
AL,47,Yates,AL47,-85.8893,32.5744,SAP                1
AL,48,Big Creek Lake,AL48,-88.340778,30.717341,CPL                3
AL,6,Claiborne Lake,AL6,-87.55,31.615,CPL                4
AL,7,Coffeeville,AL7,-88.12833,31.75667,CPL                4
AL,8,Demopolis Reservoir,AL8,-87.88,32.52,CPL                3
AL,9,Gantt Reservoir,AL9,-86.4796,31.4032,CPL                4
AR,10,Blue Mountain Lake,AR10,-93.64333,35.10167,SAP                1
AR,11,Brewer Lake,AR11,-92.60528,35.235,SAP                1
AR,12,Bull Shoals,AR12,-92.57333,36.36333,SAP                1
AR,13,Cane Creek Lake,AR13,-91.76889,33.93333,CPL                3
AR,14,Lake Hamilton,AR14,-93.0265,34.4428,SAP                1
AR,15,Pool 5 - Arkansas River,AR15,-92.10333,34.41167,CPL                4
AR,16,Cox Creek Lake,AR16,-92.62167,34.17694,CPL                3
AR,18,Dardanelle Lake,AR18,-93.16667,35.25,SAP                3
AR,19,Pool 6/Little Rock Pool Arkansas River,AR19,-92.155,34.66667,CPL                4
AR,2,Pool 9 Rockefeller Lake,AR2,-92.78667,35.125,SAP                3
AR,20,DeGray Lake,AR20,-93.11,34.22,SAP                1
AR,21,DeGray Reregulation Lake,AR21,-93.10333,34.23861,SAP                3
AR,23,DeQueen,AR23,-94.38167,34.09833,SAP                1
AR,28,Dierks,AR28,-94.1,34.145,SAP                1
AR,29,Arkansas River Pool 4,AR29,-91.90333,34.24833,CPL                4
AR,3,Lake Balboa,AR3,-92.89722,34.62639,SAP                1
AR,30,Felsenthal,AR30,-92.11833,33.05333,CPL                3
AR,31,Lake Charles,AR31,-91.13805,36.06361,SAP                4
AR,32,Gillham,AR32,-94.23,34.21,SAP                1
AR,34,Greers Ferry Lake,AR34,-92,35.525,SAP                1
AR,38,Harris Brake Lake,AR38,-92.775,34.98667,SAP                1
AR,4,bear creek lake,AR4,-90.695,34.70833,CPL                1
AR,40,Huckleberry Lake,AR40,-93.19028,35.37222,SAP                1
AR,41,Hurricane Lake,AR41,-92.52972,34.61666,SAP                1
AR,42,"Arkansas River, Pool 13",AR42,-94.29167,35.35,SAP                1
AR,43,Arkansas River Pool 3,AR43,-91.67833,34.165,CPL                4
AR,44,Lake Atkins,AR44,-92.94,35.21583,SAP                1
AR,45,Calion Lake,AR45,-92.52834,33.325,CPL                3
AR,46,Lake Columbia,AR46,-93.40639,33.28806,CPL                3
AR,47,Lake Coronado,AR47,-92.95389,34.655,SAP                1
AR,48,lake des arc,AR48,-91.50833,35.02167,CPL                1
AR,49,Lake Erling,AR49,-93.52528,33.05,CPL                1
AR,5,Beaver Lake,AR5,-93.84833,36.41667,SAP                1
AR,50,Lake Fort Smith,AR50,-94.14861,35.56111,SAP                1
AR,51,Lake G-P,AR51,-92.04361,33.21972,CPL                3
AR,52,Lake Maumelle,AR52,-92.48695,34.85361,SAP                1
AR,53,Lake Monticello,AR53,-91.85361,33.70028,CPL                1
AR,54,Lake Norrell,AR54,-92.645,34.71833,SAP                1
AR,55,Lake Overcup,AR55,-92.73333,35.19833,SAP                1
AR,56,Lake Poinsett,AR56,-90.67555,35.52333,CPL                1
AR,57,Lake Sequoyah,AR57,-94.06861,36.06667,SAP                3
AR,6,Beaver Fork Lake,AR6,-92.44527,35.14333,SAP                1
AR,60,Lake Winona,AR60,-92.85,34.79667,SAP                1
AR,61,Lee Creek Reservoir,AR61,-94.4148,35.4866,SAP                1
AR,62,SWEPCO Lake,AR62,-94.54417,36.23917,SAP                1
AR,64,Lower White Oak Lake,AR64,-93.09666,33.70167,CPL                3
AR,65,Ludwig Lake,AR65,-93.45583,35.53333,SAP                1
AR,68,Millwood Lake,AR68,-93.96167,33.695,CPL                1
AR,71,Pool 7 Arkansas River,AR71,-92.35833,34.79167,SAP                3
AR,72,Greeson,AR72,-93.715,34.14833,SAP                1
AR,73,Nimrod,AR73,-93,34.95167,SAP                1
AR,74,Norfork,AR74,-92.24,36.25,SAP                1
AR,75,"Ozark Pool, Arkansas River, Pool 12",AR75,-93.81,35.47333,SAP                1
AR,76,Ozark City Lake,AR76,-93.845,35.53,SAP                1
AR,77,Lake Hinkle,AR77,-94.25222,34.85278,SAP                1
AR,78,Lake Catherine,AR78,-92.8939,34.4272,SAP                1
AR,8,Lake Frierson,AR8,-90.72334,35.97055,CPL                1
AR,80,storm creek lake,AR80,-90.61333,34.59667,CPL                1
AR,81,Sugar Loaf Lake,AR81,-94.395,35.09444,SAP                1
AR,82,AR River Pool 8,AR82,-92.5383,35.07667,SAP                3
AR,83,Tri-County Lake,AR83,-92.36166,33.78333,CPL                3
AR,84,Irons fork Lake,AR84,-94.13028,34.64056,SAP                1
AR,85,Booneville City Lake,AR85,-94.05833,35.13945,SAP                1
AR,86,Upper White Oak Lake,AR86,-93.08667,33.66667,CPL                3
AR,87,Dumas Pool,AR87,-91.31333,33.98833,CPL                4
AR,89,Lake Saracen,AR89,-92.00739,34.236783,CPL                3
AR,9,Lake Ouachita,AR9,-93.18833,34.57333,SAP                1
AR,90,Bois d' Arc,AR90,-93.703558,33.55613,CPL                1
AR,91,Lake Barnett,AR91,-91.94639,35.2275,SAP                1
AR,92,Lake Conway,AR92,-92.395563,34.996816,SAP                4
AZ,20,Patagonia Lake,AZ20,-110.86944,31.49111,XER                3
AZ,24,Lyman Lake,AZ24,-109.34111,33.07167,WMT                2
AZ,25,Lake Havasu,AZ25,-114.1333,34.27167,XER                2
AZ,5,Big Lake,AZ5,-109.41722,33.88667,WMT                1
CA,100,Folsom Lake,CA100,-121.1567,38.70755,XER                3
CA,11,Big Bear Lake,CA11,-116.977,34.242,WMT                2
CA,129,Lake Hodges,CA129,-117.128,33.045,XER                3
CA,141,Iron Gate Reservoir,CA141,-122.4349,41.9342,WMT                2
CA,149,Keswick Reservoir,CA149,-122.4454,40.61201,XER                3
CA,152,Lake Arrowhead,CA152,-117.167,34.262,WMT                2
CA,157,Lake Hemet,CA157,-116.705,33.665,WMT                2
CA,158,Loveland Reservoir,CA158,-116.792,32.782,XER                3
CA,165,Lake Leavitt,CA165,-120.507,40.377,XER                2
CA,166,Lewiston Lake,CA166,-122.793,40.72637,WMT                2
CA,183,Lake Mathews,CA183,-117.46,33.833,XER                3
CA,185,McCloud Reservoir,CA185,-122.0713,41.1309,WMT                2
CA,186,Mc Coy Flat Reservoir,CA186,-120.942,40.453,WMT                2
CA,196,Lake Berryessa,CA196,-122.1043,38.51337,XER                3
CA,197,Lake Morena,CA197,-116.55,32.685,XER                3
CA,2,Anderson Lake,CA2,-121.6308,37.1676,XER                3
CA,214,Perris Reservoir,CA214,-117.183,33.858,XER                2
CA,217,Lake Britton,CA217,-121.6767,41.0218,WMT                2
CA,218,Pitt 6 Reservoir,CA218,-121.9931,40.9224,WMT                2
CA,219,Pit River,CA219,-122.017,40.8418,WMT                2
CA,226,Ruth Lake,CA226,-123.4332,40.3685,WMT                2
CA,23,Big Sage reservoir,CA23,-120.625,41.578,WMT                2
CA,233,Lake Skinner,CA233,-117.072,33.587,XER                3
CA,244,San Pablo Reservoir,CA244,-122.26,37.943,XER                3
CA,245,San Vicente Reservoir,CA245,-116.925,32.912,XER                3
CA,248,Lower Otay Reservoir,CA248,-116.927,32.61,XER                3
CA,25,Boca Reservoir,CA25,-120.0955,39.39009,WMT                2
