FID,UID,SITE_ID,VISIT_NO,INDEX_NLA,AGGR_ECO3_,AGGR_ECO9_,AREA_HA,COMID2012,ELEVATION,EPA_REG,LAKE_ORIGI,STATE,WGT_ALL,REF_NLA12_,RT_NLA12,RT_NLA12_B,RT_NLA12_Z,CHLX_RESUL,CHLX_UNITS,INDEX_SITE,INDEX_LAT_,INDEX_LON_,COLOR_RESU,COLOR_UNIT,CHLORIDE_R,CHLORIDE_U,NTL_RESULT,NTL_UNITS,PTL_RESULT,PTL_UNITS,TROPHIC_ST,BENT_COND,MMI_BENT_N,ZOOP_COND,MMI_ZOOP_N,AMITOTAL,HORIZDD,LitCvrQc3O,LitRipCvrQ,RDis_IX,RVegQc3OE,VERTDD,MICX_RESUL,MICX_UNITS,ATRAZINE_R,ATRAZINE_U,TOTALHG_RE,TOTALHG_UN,METHYLMERC,METHYLME_1,NAME
0,8302,NLA12_MT-103,1,Y,PLNLOW,NPL,54.88407471,12473810,845.16,Region_8,MAN_MADE,MT,5.551911668, ,T,T,T,3.296,ug/L,2.5,48.96057,-109.75236,29,APHA Pt-Co,4.63,mg/L,1.599,mg/L,339,ug/L,HYPEREUTROPHIC,Poor,28.7,Poor,26.43,1.125,3.85,0.946302285,0.374599628,0.946996466,0.011218732,0.5,4.40837,ppb,0,ppb,32.97,ng/g,0.63,ng/g,Upper Missouri
1,6542,NLA12_MT-104,1,Y,PLNLOW,NPL,532.2072995,12394688,1264,Region_8,MAN_MADE,MT,6.113320325,R,R,B,R,0.637333333,ug/L,8.9,47.5583,-112.4469,6,APHA Pt-Co,1.576,mg/L,0.216,mg/L,29,ug/L,MESOTROPHIC,Not Assessed,NA,Poor,4.43,0.0725,0.033333333,0.459993998,0.271557688,0.494709134,0.156163132,0.08,0.09082,ppb,0,ppb,28.69,ng/g,1.6,ng/g,Upper Missouri
2,7321,NLA12_MT-106,1,Y,PLNLOW,NPL,617.4968114,12394516,1332,Region_8,MAN_MADE,MT,6.113320325, ,S,S,S,0.464,ug/L,16.5,47.6826,-112.45949,10,APHA Pt-Co,0.475,mg/L,0.166,mg/L,11,ug/L,MESOTROPHIC,Good,44.7,Fair,39.78,0.0775,37.6,0.132887155,0.226437805,0.65862394,0.29440573,2.35,0.07734,ppb,0,ppb,44.85,ng/g,0.18,ng/g,Upper Missouri
3,7022,NLA12_MT-107,1,Y,PLNLOW,NPL,39.84092601,12537926,1469.29,Region_8,MAN_MADE,MT,15.03551325,R,R,R,R,6.616,ug/L,2.7,48.24409,-112.86546,20,APHA Pt-Co,4.459,mg/L,1.62,mg/L,42,ug/L,MESOTROPHIC,Poor,21.5,Fair,33.22,0.3325,1.55,0.655502999,0.445827432,0.364864865,0.321673313,0.222222222,0.04995,ppb,0,ppb,33.99,ng/g,1.3,ng/g,Upper Missouri
4,7133,NLA12_MT-108,1,Y,PLNLOW,NPL,25.20793107,12337192,1208,Region_8,NATURAL,MT,15.03551325, ,T,T,T,8.56,ug/L,4.4,48.89343,-112.16837,32,APHA Pt-Co,49.537,mg/L,2.068,mg/L,1344,ug/L,EUTROPHIC,Poor,23.1,Poor,6.58,0.145,0.65,0.590873029,0.26211705,0.582249323,0.147750725,0.13,0.34227,ppb,0,ppb,54.35,ng/g,0.4,ng/g,Upper Missouri
5,6664,NLA12_MT-109,1,Y,PLNLOW,NPL,1665.989451,167204935,677.97,Region_8,MAN_MADE,MT,4.68185044, ,S,S,S,5.237333333,ug/L,7.8,48.48363,-107.57468,18,APHA Pt-Co,12.355,mg/L,0.574,mg/L,43,ug/L,MESOTROPHIC,Fair,31.9,Fair,36.75,0.0975,0,0.122665066,0.151251815,0.611154985,0.174446921,0,0.1083,ppb,0,ppb,40.25,ng/g,0.47,ng/g,Upper Missouri
6,7623,NLA12_MT-110,1,Y,WMTNS,WMT,7.763512398,4222164,2412.81,Region_8,NATURAL,MT,1282.04641,R,R,R,R,1.252,ug/L,16.5,45.86661,-113.55076,22,APHA Pt-Co,0.143,mg/L,0.166,mg/L,23,ug/L,MESOTROPHIC,Good,60.3,Good,82.5,0.4,0,2.180800717,1.198713276,0,0.832196607,0,0.05482,ppb,0,ppb,248.73,ng/g,0.46,ng/g,Upper Missouri
7,6427,NLA12_MT-113,1,Y,PLNLOW,NPL,148.2741262,12744019,1258.03,Region_8,MAN_MADE,MT,6.113320325,R,R,B,R,0.60020141,ug/L,5.8,47.88011,-112.31184,8,APHA Pt-Co,0.636,mg/L,0.098,mg/L,17,ug/L,MESOTROPHIC,Good,51.9,Poor,17.07,0.2175,0,1.264242153,1.000471796,0.622611465,0.857282978,0,0.36651,ppb,0,ppb,15.69,ng/g,0.22,ng/g,Upper Missouri
8,6696,NLA12_MT-118,1,Y,PLNLOW,NPL,68.04423978,12323563,820.98,Region_8,NATURAL,MT,8.443021761, ,T,T,T,13.28,ug/L,2.2,48.83542,-108.01296,34,APHA Pt-Co,4.862,mg/L,1.453,mg/L,1378,ug/L,EUTROPHIC,Fair,36.2,Poor,0.07,0.115,0,0.457814145,0.217226284,0.919354839,0.138290486,0,0.11616,ppb,0,ppb,37.48,ng/g,0.71,ng/g,Upper Missouri
9,8328,NLA12_MT-119,1,Y,PLNLOW,NPL,18.71955896,12476972,810.05,Region_8,MAN_MADE,MT,16.62219909, ,T,T,T,143.6,ug/L,1.5,48.41148,-110.05797,64,APHA Pt-Co,84.917,mg/L,4.175,mg/L,390,ug/L,EUTROPHIC,Poor,22.8,Poor,18.93,0.005,1.68,0.051009236,0.019833334,0.942196532,0,0.68,0.53602,ppb,0,ppb,14.43,ng/g,0.25,ng/g,Upper Missouri
