FID,FID_1,NIDID,Dam_Name,Other_Dam_,GNIS_Name,State,Latitude,Longitude,County,River,Purposes,Year_Compl,Reservoir_,Hydraulic_,NID_Height,Maximum_Di,Maximum_St,Normal_Sto,NID_Storag,NID_Stor_1,Surface_Ar,Surface__1,Surface__2,Surface__3,Surface__4,Drai_ge_Ar,Drai_ge__1,Drai_ge__2,Drai_ge__3,Reservoir1,Reservoi_1,Reservoi_2,Shoreline_,Mean_Depth,I_ex_of_Ba,Developmen,Maximum_De,Mean_Dep_1,Mean_Q,Catchment_,Relative_D,Surface__5,Lake_Volum,Lake_Vol_1,Lake_Vol_2,AreaSqKm,Elevation,ReachCode,E2RF1_,HUC,MEANV,STRAHLER,RR,REACH,NUTCODE,PSEWER,PSEPTIC,POTHER,WATER,WETLA_S,URBGRASS,LURBAN,HURBAN,COMM,FORESTD,FORESTE,FORESTM,SHRUB,GRASS,PASTURE,CROPS,ORCHARDS,BARREN,TNLOADB,TPLOADB,TNYLDB,TPYLDB,TNCONCB,TPCONCB,TNLOADBW,TNYLDBW,TNCONCBW,TNLOAD,TPLOAD,TNYLD,TPYLD,TNCONC,TPCONC,TNPOINT,TPPOINT,TNFERT,TPFERT,T_TMOS,TNFOREST,TPFOREST,TNBARREN,TPBARREN,TNSHRUB,TPSHRUB,TNGRASS,TPGRASS,TNMAN,TPMAN,T_FRAC,TPDFRAC,BASIN NAME
0,577,MT00003,FRENCHMAN DAM, ,ND,MT,48.9588,-107.2243,PHILLIPS,FRENCHMAN CREEK,I,1953,62,44,63,36000,13540,3752,13540,589801046,800,34848000,1.25,3237488,3.237488,2460,6371.3754,1574400,68584800000,.,0,0,0,16.92496115,0,1.153974624,44,0.384658208,.,1968,0.254088026,0.699541084,163436744.8,4628016.96,4.62801696,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
1,578,MT00004,RUBY DAM, ,Ruby River Reservoir,MT,45.2394,-112.1105,MADISON,RUBY RIVER,I,1938,77,111,111,36000,56355,37611,56355,2454818165,970,42253200,1.515625,3925454.2,3.9254542,595,1541.04405,380800,16588600000,49833.8475,15.18935672,9.438231713,2.162665317,58.09780477,0.327410338,1.57021094,111,0.523403647,224.255,392.5773196,0.792091529,0.084614136,1638331399,46392416.28,46.39241628,3.841,1643.5,1.00E+13,28660,10020003,0.85,3,10020003005,29529,2,95,5,0,0.3,1.2,0,0,0,0,0.5,26.7,0,22.9,46.2,1.5,0.4,0,0.2,11836,2408,8,2,0.08,0.02,14247,9,0.1,127795,19349,83,13,0.69,0.1,0,0,10,10,19,23,14,1,0,18,15,24,54,4,6,0.15495,0,Upper Missouri
2,579,MT00006,BAIR DAM, ,ND,MT,46.579,-110.5586,MEAGHER,NORTH FORK MUSSELSHELL RI,I,1939,76,106,106,7880,12475,7300,12475,543409752.5,279.54,12176762.4,0.43678125,1131259.244,1.131259244,51.72,133.9542828,33100.8,1441953600,.,0,0,0,44.62678458,0,1.263022205,106,0.421007402,.,118.4116763,1.133378915,0.125633995,317987270,9004404,9.004404,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
3,580,MT00007,"MARTINSDALE, EAST DAM", ,Martinsdale Reservoir,MT,46.4426,-110.2597,WHEATLAND,TR-MUSSELSHELL RIVER,I,1939,76,49,49,1060,38958,32348,38958,1697006584,985,42906600,1.5390625,3986157.1,3.9861571,15.7,40.662843,10048,437716000,52248.41169,15.92531588,9.895535683,2.250120317,39.55117824,0.399124612,2.421500708,49,0.807166903,0.5424,10.20101523,0.5351097,0.099902157,1409075645,39900611.04,39.90061104,3.851,4779,1.00E+13,30207,10040201,0.28,1,10040201080,31082,4,50,50,0,4.9,0.2,0,0,0,0,0.6,0.8,0,1.1,89.7,2.8,0,0,0,1720,557,25,8,0.2,0.06,2061,30,0.24,113,6,2,0,0.28,0.01,1,0,5,2,27,2,1,0,0,1,1,63,95,1,1,0,0,Upper Missouri
4,581,MT00008,PETROLIA, ,Prtrolla Lake,MT,46.941,-108.2359,PETROLEUM,SOUTH FORK FLATWILLOW CREEK,I,1951,64,59,76,10200,14170,9192,14170,617243783,515,22433400,0.8046875,2084132.9,2.0841329,612,1585.07388,391680,17062560000,131213800,39993.96624,24851.10644,7814.958248,27.51449994,3527.38081,1.39904237,59,0.466347457,15.8022,760.5436893,0.514824875,0.183815987,400402600.8,11338148.16,11.33814816,1.967,883.3,1.00E+13,30299,10040203,0.55,4,10040203002,31174,4,4,91,5,0.3,0.5,0,0,0,0.1,2.1,15.3,0.1,5.1,64,2.2,9.8,0,0.5,1023,914,1,1,0.03,0.02,1549,1,0.04,16236,2201,10,1,1.18,0.16,1,0,8,5,28,5,3,0,0,4,3,48,82,7,7,0.10927,0,Upper Missouri
5,582,MT00009,NORTH FORK OF SMITH RIVER DAM, ,Lake Sutherlin,MT,46.6213,-110.7469,MEAGHER,NORTH FORK SMITH RIVER,I,1936,79,84,91,5530,14200,11500,14200,618550580,335,14592600,0.5234375,1355698.1,1.3556981,71,183.88929,45440,1979480000,37703.13186,11.49191459,7.140746955,2.784234349,42.38796239,0.810144405,1.5138558,84,0.5046186,16.9327,135.641791,0.98338063,0.095572519,500938850,14185020,14.18502,1.526,5486,1.00E+13,29373,10030103,0.27,2,10030103059,30244,2,100,0,0,0.3,0,0,0,0,0.3,4.3,41.9,0,3.4,49,0,0,0,0.9,3642,555,19,3,0.14,0.02,4340,23,0.17,13667,1092,71,6,0.92,0.08,0,0,0,0,22,42,23,3,2,3,3,29,71,0,0,0.07109,0,Upper Missouri
6,583,MT00010,ACKLEY LAKE DAM, ,ND,MT,46.9586,-109.933,JUDITH BASIN,TR-HAUCK COULEE,I,1938,77,51,55,1410,8315,5970,8315,362200568.5,260,11325600,0.40625,1052183.6,1.0521836,2.6,6.733974,1664,72488000,.,0,0,0,31.98069581,0,1.881217401,51,0.627072467,.,6.4,0.84217578,0.142884489,260052603,7363875.6,7.3638756,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
7,584,MT00011,DEADMANS BASIN DAM, ,Deadmans Basin Reservoir,MT,46.3361,-109.4127,WHEATLAND,TR-MUSSELSHELL RIVER,I,1941,74,60,60,1080,100000,72218,100000,4355990000,2120,92347200,3.3125,8579343.2,8.5793432,7.3,18.906927,4672,203524000,42667.60752,13.00508677,8.080988859,1.252509777,47.16970303,0.145994228,2.358485152,60,0.786161717,.,2.203773585,0.43500748,0.096311129,3145808858,89079458.64,89.07945864,7.483,3892,1.00E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
8,585,MT00012,YELLOW WATER MAIN DAM, ,Yellow Water Reservoir,MT,46.9023,-108.4712,PETROLEUM,YELLOW WATER CREEK,I,1938,77,37,37,3900,6603,3842,6603,287626019.7,490,21344400,0.765625,1982961.4,1.9829614,55,142.44945,35200,1533400000,33281.38842,10.14416719,6.303295277,2.032142503,13.47547927,2.140557634,1.092606427,37,0.364202142,2.068,71.83673469,0.258492349,0.418431901,167357135.8,4739030.16,4.73903016,1.639,949.8,1.00E+13,30304,10040203,0.22,2,10040203007,31179,4,4,91,5,0.9,0.1,0,0,0,0,0.1,3.9,0,4,83,0.7,7.2,0,0,362,233,2,1,0.08,0.05,546,3,0.13,5098,2188,27,11,2.76,1.17,1,0,4,2,28,3,1,0,0,4,2,57,91,3,4,0.03711,0,Upper Missouri
9,586,MT00013,WARHORSE DAM, ,ND,MT,47.1102,-108.5306,PETROLEUM,FORDS CR. & BUFFALO CR. OFFST,I,1911,104,24,24,1200,21750,12750,21750,947427825,1300,56628000,2.03125,5260918,5.260918,180,466.1982,115200,5018400000,55053.65,16.78035252,10.42683099,2.06378858,16.73073082,1.066986153,2.091341353,24,0.697113784,2.068,88.61538462,0.197035622,0.334517803,555388725,15726870,15.72687,1.639,949.8,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upper Missouri
