FID,Field1,nid_id,lat,lon,river,purpose,yr_comp,res_age,hydr_hght,max_dis,max_stor,norm_stor,surf_area_,res_perim_,sdi,mean_depth,mean_max_d,mean_q,drain_area,catch_surf,rel_depth_,lake_vol_m,elev,reach_code,e2rf1,mean_v,strahler,water,wetlands,urb_grass,lo_urb_dev,hi_urb_dev,industry,for_dec,for_ever,for_mixed,shrub,grass,pasture,crops,orchards,barren,tn_bg_kg_k,tp_bg_kg_k,tn_bg_kg_1,tn_kg_km2_,tp_kg_km2_,tn_point,tp_point,tn_fert,tp_fert,tn_ag_anml,tp_ag_anml,tn_forest,tp_forest,tn_barren,tp_barren,tn_shrub,tp_shrub,tn_grass,tp_grass,tn_frac,tp_frac,WinT_rcp85,WintT_abs,WinT_hist,SumT_hist,SumT_rcp85,SumT_abs,US_L3CODE,US_L3NAME,Histprecip,RCP85preci,ABSprecip,NAME
0,399,CO00151,38.81833,-106.6072,TAYLOR RIVER,I,1937,78,160,10000,111260,106225,8.2555944,17.48970598,1.717130198,54.53909048,0.340869316,55.3214,657.85746,79.68627451,0.512736601,131026413,9330,1.4E+13,43222,0.76,1,0.2,0,0,0,0,0,1.8,53.7,0,10,16,0,0,0,17.6,53,7,60,187,8,0,1,0,0,0,0,33,54,39,0,6,13,5,32,0,0,-2.91,4.69,-7.6,12.09,16.94,4.84,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
1,401,CO00158,38.035,-108.2506,GURLEY CANYON,I,1961,54,84,908,12035,10039,1.3556981,5.102996761,1.236342191,35.92529066,0.425151369,0,6.628755656,4.889552239,0.83344971,12382906,8264,1.4E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,4.93,-2.06,16.13,21.12,4.99,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
2,402,CO00162,37.97333,-108.3356,WEST NATURITA CREEK,RFF,1978,37,87,1950,11620,6851,1.6592126,9.632783586,2.109578429,28.34139835,0.325389195,0,94.016637,56.66341463,0.594334388,8450571,NA,1.4E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,4.92,-1.73,16.34,21.34,5,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
3,417,CO00387,38.5,-107.5,GUNNISON RIVER,IHSRC,1976,39,225,41350,30726,25236,1.21810486,0,0,102.0794999,0.453686666,0,836.56677,686.7774086,2.498370244,31128101,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,4.84,-3.92,15.44,20.33,4.89,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
4,427,CO00556,38.675,-107.5875,IRON CREEK,I,1961,54,144,1420,18275,14395,1.64302516,10.47180111,2.304592632,45.01221194,0.312584805,0,133.902483,81.49753695,0.948568833,17755945,NA,1.4E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,4.86,-1.07,19.34,24.26,4.91,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
5,428,CO00603,38.60333,-107.5939,IRON CREEK,I,1954,61,105,502,10380,9000,1.3759324,6.60564357,1.588588735,30.52934168,0.290755635,0,58.274775,42.35294118,0.703039124,11101320,NA,1.4E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,4.86,-1.11,18.8,23.71,4.91,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
6,429,CO00693,39.60667,-107.6606,HARVEY GAP,I,1892,123,61,542,7719,5806,1.2949952,0,0,24.12181962,0.395439666,0,5.673696844,4.38125,0.572580547,7161585,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.92,-0.37,20.14,25.14,5,20,Colorado Plateaus,306.78,337.73,30.96,Upper Colorado
7,444,CO00875,39.61833,-106.0656,BLUE RIVER,RS,1963,52,231,11754,305000,254036,13.354638,52.47527785,4.050732625,92.42403025,0.400104027,34.4,875.41662,65.55151515,0.683171036,313348325,9017,1.4E+13,43029,0.62,1,2.3,0,0,0.5,0,3,4.9,58.4,0,22,9,0,0,0,0.1,76,8,92,242,18,35,54,0,0,0,0,28,26,0,0,10,12,2,7,0,0,-1.13,4.58,-5.7,12.8,17.68,4.88,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
8,446,CO00962,39.97028,-107.6475,BIG BEAVER CREEK,F,1964,51,100,11095,9762,7658,1.06432418,0,0,37.11778551,0.371177855,0,56.12589267,52.7338403,0.971864451,9445990,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,4.93,-3.24,16.12,21.15,5.03,21,Southern Rockies,601.32,643.52,42.21,Upper Colorado
9,447,CO00976,40.55778,-107.3836,ELKHEAD CREEK,FS,1979,36,65,16000,18500,13500,2.225773,0,0,33.63628642,0.51748133,0,549.07788,246.6909091,0.609015309,16651980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,4.88,-3.43,18.19,23.25,5.06,18,Wyoming Basin,291.69,329.56,37.87,Upper Colorado
