RESID,SS,PreySS,PredSS,PPratio,ExoticSS,Richness,Evenness,NatStock,Nnatstock,IntrodUndes,Fishkills,FishPres,CatchRate,FishSize,CatchVar,AnglerSatis,FreqTourn,RatioFishing,SPP1comp,LargeFish,StockedFish,PopDen,SizeStruc,Condition,GRate,NatMort,R_age1,R_adult,CRA,BAS,PIK,PER,CAT,SUN,MOR,TRT,SAL
LA56,1,5,1,2,5,1,1,1,1,5,1,1,1,1,1,1,1,1,3,3,4,3,4,3,3,3,1,3,0,0,0,0,1,0,0,0,0
TX156,1,5,1,5,4,2,1,3,1,1,4,3,2,4,3,3,1,4,3,3,1,4,4,5,4,2,4,4,0,0,0,0,0,0,1,0,0
TX246,1,5,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,3,1,4,4,4,3,3,3,3,0,0,0,0,1,0,0,0,0
NE6,3,5,1,5,4,4,1,1,1,3,2,2,2,3,4,1,1,2,1,3,1,2,2,3,2,4,3,2,0,0,0,0,1,0,0,0,0
PA94,3,5,1,5,5,4,3,4,3,4,3,2,1,3,3,1,3,3,1,1,1,2,2,4,4,4,2,2,0,1,0,0,0,0,0,0,0
NE46,4,5,1,5,4,5,1,1,1,3,2,2,3,2,4,3,1,1,3,1,1,3,2,2,2,4,3,3,0,0,0,0,1,0,0,0,0
OK54,4,5,1,5,5,1,1,3,4,1,5,2,1,3,3,1,1,1,4,2,2,1,2,3,4,3,3,3,0,0,0,0,1,0,0,0,0
OR93,4,5,1,5,5,1,1,3,1,5,2,3,3,3,2,3,1,5,4,3,4,3,3,3,2,3,2,2,0,0,0,0,0,0,0,1,0
IN20,5,5,1,1,3,5,1,4,1,5,5,1,5,2,1,1,1,4,1,3,2,1,4,2,4,5,1,1,0,1,0,0,0,0,0,0,0
CO189,2,4,1,2,4,3,2,1,4,1,1,1,1,2,3,2,1,4,4,3,4,2,2,2,1,5,1,1,0,0,0,0,0,0,0,1,0
NE49,2,4,1,5,4,3,1,1,1,3,2,2,2,2,4,1,1,2,2,1,1,2,1,3,1,3,3,2,0,0,0,0,1,0,0,0,0
MO25,3,4,1,5,4,2,1,3,2,3,4,1,1,4,1,3,1,2,3,2,4,3,2,2,2,4,1,1,0,0,0,0,1,0,0,0,0
MT62,3,4,1,5,4,3,2,3,3,1,1,3,3,3,4,4,3,3,2,2,4,4,3,3,3,1,3,3,0,0,0,0,0,0,0,1,0
GA23,1,2,1,3,2,3,3,2,2,2,2,3,1,2,2,2,4,3,2,1,1,1,1,2,1,4,1,2,0,1,0,0,0,0,0,0,0
SD15,1,2,1,2,3,2,2,4,3,3,3,4,2,2,4,2,1,2,1,2,4,1,2,3,3,5,1,2,0,0,0,1,0,0,0,0,0
