RESID,SHALLOW,MUDFLAT,BKWATER,CONN_BW,CONN_TR,X_MACRO,N_MACRO,NN_PLNT,NN_ANIM,N_STRUC,SHAL_LZ,DEEP_LZ,N_SHADE,N_ALLOC,DIST_RZ,WS_AGRI,WS_ANIM,WS_LOGS,WS_MINE,WS_URBN,X_NUTRI,N_NUTRI,IN_TURB,OR_TURB,VAR_TUR,ALGAE,VAR_DO2,O_STRAT,HI_TEMP,LO_TEMP,T_STRAT,DESTRAT,THERMAL,CONTAMN,POLL_PS,POLLNPS,HYDROGR,RESIDUP,LOWRETE,LOWSTOR,WL_SEAS,WL_DROP,WL_LONG,WLSHORT,WL_FAST,SEDIMEN,SHOREER,NOCOVES,SHOREHO,SUBSTHO,DIST_UP,DIST_AD
AL12,2,1,1,1,1,4,0,4,1,2,2,0,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AL13,1,0,1,0,1,0,1,1,0,1,0,1,0,0,2,1,1,1,0,1,2,0,1,1,1,0,0,3,0,2,1,1,0,2,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1
AL14,0,1,3,4,4,1,2,1,1,1.211024787,1,3,0,0,3,1,1,2,5,3,1,1,1,1,1,1,1,1,0,0,1,0,1,3,1,2,0,1,0,0,1,0,0,0,0,4,2.515466391,5,1,2,1,4
AL15,2,2,0,0,1,2,0,2,1,0,2,0,0,0,2,1,1,2,1,1,2,0,3,3,3,1,1,1,0,0,2,1,0,1,1,2,0,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3
AL16,0,1,3,3,3,3,0,1,1,1,0.875573696,2,0,0,3,2,1,2,3,2,1,0,1,1,1,1,1,1,0,0,2,0,2,2,2,2,2,1,0,0,1,1,1,1,1,2,2,3,1,2,1,4
AL17,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,0,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
AL18,4,3,3,3,3,4,1,3,3,3,1,0,2,1,3,3,1,3,0,2,2,3,3,3,3,1,1,2,2,1,2,2,1,3,2,3,1,1,2,3,1,1,2,1,1,3,3,3,3,2,3,2
AL19,2,1,1,1,2,4,1,3,2,3,1,1,2,1,1,2,2,2,1,1,3,1,2,3,2,2,3,2,2,2,3,1,3,4,3,2,0,3,3,3,1,0,0,0,1,2,2,1,2,2,2,2
AL2,0,2,1,1.403728051,3,1,0,1.453735598,1,1,1,1,0,0,3,2,1,2,4,2,3,0,2,2,1,1,1,1,0,0,2,1,1,1,2,2,0,2,2,0,0,0,0,0,0,3,3,2,0,1,2,1
AL20,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,2,1,1,1,2,1,1,2,2,1,2,0,0,1,0,0,1,1,1,1,0,0,0,3,3,3,3,1,2,2,2,1,1,2,2
AL21,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
AL22,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,0,1,2,0,1,1,1,0,4,4,2,3,2,1,1,2,2,2,1,2,1,1,1,2,1,1,2
AL23,1,1,1,1,1,1,3,1,1,3,1,2,2,1,1,1.504322987,2,3,1,1,1,3,1,1,2,1,1,3,2,1,3,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1
AL24,3,4,3,3,4,2,2,3,3,2,3,1,2,2,4,3,3,3,0,2,3,1,4,4,3,1,1,1,4,0,1,1,3,2,2,4,1,2,1,2,1,1,2,1,1,5,4,4,3,4,2,4
AL25,0,2,1,1,4,2,0,2,1,1,1,1,1,0.736390118,3,1,1,3,1,1,1,0,3,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,4,1,2,2,2,3,1
AL27,2,2,2,2,4,4,1,4,4,3,4,0,2,1,3,3,3,4,1,3,2,4,4,1,3,2,2,2,3,1,2,2,5,3,3,3,1,4,3,4,3,3,5,2,3,4,3,3,3,4,3,4
AL29,1,1,1,1,1,2,2,1,1,2,1,3,2,2,1,1,1,2,0,0,1,3,1,1,2,1,1,2,1,1,3,1,0,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1
AL3,1,1,1,0,0,0,3,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,4,1,0,1,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1
AL32,2,4,2,2,3,1,1,1,2,1,2,1,1,1,4,4,4,3,1,2,2,1,3,3,4,1,1,2,1,1,2,1,1,1,2,4,0,1,4,4,1,1,1,4,4,4,4,4,4,3,1,4
AL33,1,1,1,1,1,3,0,0,0,2,1,1,1,0,2,1,1,2,1,2,0,4,1,1,2,0,1,1,0,5,1,0,5,1,1,1,1,4,2,3,2,0,0,2,2,1,1,2,1,1,2,1
AL34,3,1,1,1,1,3,0,3,0,1,2,0,0,0,1,2,2,2,1,1,2,0,2,2,2,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,2
AL35,1,1,1,1,1,1,2,0,0,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,3,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1
AL37,3,2,3,3,3,3,1,4,3,2,3,1,3,1,4,4,3,4,1,3,4,1,3,3,3,2,2,3,4,2,4,3,2,3,3,4,1,2,3,2,2,3,2,4,3,4,4,4,3,2,4,2
AL39,3,3,1,1,2,2,3,1,2,3,3,4,1,4,2,3,2,2,1,1,4,1,3,3,2,3,3,2,4,1,2,1,0,3,1,3,1,3,3,2,1,2,2,2,2,3,3,2,3,2,3,3
AL4,1,1,1,1,0,0,2,0,0,4,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1
AL44,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1
AL45,0,0,2,4,1,1,0,1,1,2,0,2,0,1,3,1,1,2,2,3,3,0,1,1,2,1,1,1,0,0,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4
AL46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,3,0,0,1,1,1,1,1,1,1,1,1,2,1.984647489,2,1,1
AL47,1,1,1,1,2,0,2,0,1,2,1,2,1,1,1,1,0,3,1,1,0,5,2,0,2,0,2,1,0,5,1,0,5,0,1,1,1,5,3,4,2,0,0,4,3,2,1,1,1,1,2,2
