,nid_id,lat,lon,river,purpose,yr_comp,res_age,hydr_hght,max_dis,max_stor,norm_stor,surf_area_km2,res_perim_km,sdi,mean_depth,mean_max_depth_ratio,mean_q,drain_area_km2,catch_surf_area_ratio,rel_depth_perc,lake_vol_m3,elev,reach_code,e2rf1,mean_v,strahler,water,wetlands,urb_grass,lo_urb_dev,hi_urb_dev,industry,for_dec,for_ever,for_mixed,shrub,grass,pasture,crops,orchards,barren,tn_bg_kg_km2_yr,tp_bg_kg_km2_yr,tn_bg_kg_km2_yr_atom,tn_kg_km2_yr,tp_kg_km2_yr,tn_point,tp_point,tn_fert,tp_fert,tn_ag_anml,tp_ag_anml,tn_forest,tp_forest,tn_barren,tp_barren,tn_shrub,tp_shrub,tn_grass,tp_grass,tn_frac,tp_frac,WinT_rcp85,WintT_abs,WinT_hist,SumT_hist,SumT_rcp85,SumT_abs,US_L3CODE,US_L3NAME,Histprecip,RCP85precip,ABSprecip
1,AL00017,30.70833,-88.34167,BIG CREEK,SR,1952,63,56,35000,136500,105000,14.568696,97.26899248,7.188842487,37.91657962,0.677081779,165.605,NA,NA,0.268336293,129515400,NA,3.17E+12,9742,1.2,1,0.2,0.8,0.5,0.2,0,0.1,5.8,33.5,28.6,0,0,15.6,12,0,2.7,130,32,178,905,40,6,14,56,30,5,24,12,26,2,5,0,0,0,0,0.68465,0.21099,16.2,3.26,12.94,27.44,31.57,4.13,65,Southeastern Plains,1354.02,1363.28,9.26
2,AL00383,32.66667,-85.43833,SOUGAHATCHEE CREEK,SR,1932,83,43,13000,10200,5000,1.40021356,17.01562503,4.056445618,29.47970111,0.685574444,116.147,NA,NA,0.672955798,6167400,205.4,3.15E+12,8515,1.04,1,1.3,1,1.1,5.2,1.8,2,22.2,26.1,27.5,0,0,7,4.1,0,0.8,90,26,122,587,38,55,61,11,9,3,10,14,19,1,1,0,0,0,0,0.75731,0.40879,13.18,3.35,9.83,26.07,30.71,4.64,45,Piedmont,1204.47,1274.98,70.51
3,AL00416,32.66667,-85.43333,SAUGAHATCHEE,RPF,1972,43,NA,810,108,78,1.401678964,17.01562503,4.05432463,0.311811683,NA,116.147,1.011650094,0.721741765,0.007114243,96211.44,205.4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0.75731,0.40879,13.17,3.35,9.81,26.05,30.69,4.64,45,Piedmont,1204.47,1274.98,70.51
4,AL00665,31.385,-85.72167,CLAYBANK CREEK,R,1935,80,37,79900,17600,9000,2.7518648,21.27324992,3.617555369,25.88229352,0.699521447,57.2767,214.96917,78.11764706,0.421453645,11101320,NA,3.14E+12,7908,0.51,2,0.9,2.6,0.6,1.3,0.2,0.7,19.9,26.3,29.9,0,0,4.5,9.4,0,3.6,80,22,107,346,13,30,40,20,14,8,21,18,20,3,5,0,0,0,0,0.69952,0.32583,15.38,3.23,12.14,27.17,31.58,4.41,65,Southeastern Plains,1354.02,1363.28,9.26
5,AL00707,32.57167,-86.33833,MORTAR CREEK,R,1953,62,15,29400,2070,2070,1.38807298,NA,NA,6.034971568,0.402331438,NA,NA,NA,0.138366094,2553303.6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15,3.37,10.78,27.06,31.75,4.68,65,Southeastern Plains,1354.02,1363.28,9.26
6,AL00739,32.78,-87.85667,WHITE CREEK,R,1957,58,14,680,129,120,1.21001114,24.7658923,6.351176569,0.431437137,0.030816938,9820.04,NA,NA,0.010594573,148017.6,NA,3.16E+12,62522,2.95,4,1.6,3.3,0.5,1.5,0.4,0.9,32,16.7,26.1,0,0,9.9,5,0,2.1,68,13,91,624,43,19,21,16,6,25,52,17,19,2,2,0,0,0,0,0.95065,0.92109,13.66,3.47,10.19,27.19,32.02,4.83,65,Southeastern Plains,1354.02,1363.28,9.26
7,AL00977,34.18333,-86.805,EIGHT MILE CREEK,SR,1966,49,90,35360,21400,15020,2.13269522,39.56921685,7.64342394,40.6071174,0.451190193,51.8507,NA,NA,0.751101045,18526869.6,NA,3.16E+12,8983,0.73,1,2.4,0.3,0.1,0.4,0.1,0.1,20.7,9,17.2,0,0,34.2,15.6,0,0,119,12,164,2358,132,4,4,25,5,57,88,5,3,0,0,0,0,0,0,0.60746,0.2185,11.62,3.55,8.07,25.46,30.31,4.85,68,Southwestern Appalachians,1438.69,1485.93,47.24
8,AL01111,33.29,-87.48333,YELLOW CREEK,S,1954,61,77,1924,10349,10349,1.259860952,23.58104156,5.926476504,33.24244467,0.431720061,NA,NA,NA,0.800004168,12765284.52,NA,3.16E+12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,3.51,9.6,26.77,31.61,4.84,68,Southwestern Appalachians,1438.69,1485.93,47.24
9,AL01137,33.265,-87.50667,NORTH RIVER,SR,1971,44,117,50000,180000,130000,20.5378145,227.3580119,14.15233306,35.46789887,0.303144435,632.691,NA,NA,0.211406799,160352400,NA,3.16E+12,9074,1.69,2,2,0.6,0,0.1,0,0.1,35.8,17.7,30.6,0,0,5.2,4.9,0,3,75,15,100,420,15,6,10,18,9,7,26,31,48,4,8,0,0,0,0,0.81037,0.34826,13.24,3.51,9.74,26.88,31.72,4.84,65,Southeastern Plains,1354.02,1363.28,9.26
10,AL01167,33.83667,-86.55,ND,SR,NA,NA,NA,NA,NA,NA,5.6251354,61.01189066,7.256762073,NA,NA,129.966,NA,NA,NA,NA,239,3.16E+12,9037,1.09,1,2.5,0,0.1,0.1,0,0.1,41.8,14.5,24.2,0,0,10.7,5,0,0.9,106,14,144,587,31,7,6,21,7,31,68,20,18,1,0,0,0,0,0,0.64021,0.21003,11.79,3.5,8.29,25.63,30.42,4.78,68,Southwestern Appalachians,1438.69,1485.93,47.24
